Site_Location,Size,Bath,Balcony,New_Total_Sqft,Price,area_type
Chandan Nagar,2 BHK,2,1,1111,55,Super built-up  Area
Dapodi,4 Bedroom,2,1,1125,96.8,Plot  Area
Deccan Gymkhana,2 BHK,2,2,977,39.6,Super built-up  Area
Dehu Road,2 BHK,1,1,674,21.89,Super built-up  Area
Dhankawadi,3 Bedroom,3,1,600,91.3,Plot  Area
Dhayari Phata,4 Bedroom,4,1,2540,126.5,Plot  Area
Dhole Patil Road,2 BHK,2,1,1290,110,Super built-up  Area
Erandwane,3 Bedroom,3,1,600,107.8,Plot  Area
Fatima Nagar,2 BHK,2,1,795,35.794,Super built-up  Area
Fergusson College Road,2 BHK,1,1,700,38.5,Super built-up  Area
Ganesh Peth,2 BHK,1,1,1463,156.2,Built-up  Area
Ganeshkhind,3 Bedroom,3,0,1000,154,Built-up  Area
Ghorpade Peth,3 BHK,2,2,1306,63.8,Super built-up  Area
Ghorpadi,3 BHK,3,2,2401,203.5,Super built-up  Area
Gokhale Nagar,4 Bedroom,3,0,1670,148.5,Plot  Area
Gultekdi,3 BHK,2,3,1875,258.5,Built-up  Area
Guruwar peth,3 Bedroom,3,1,1200,99,Plot  Area
Hadapsar,3 BHK,3,2,1804,133.1,Super built-up  Area
Hadapsar Industrial Estate,3 BHK,4,1,2065,231,Super built-up  Area
Hingne Khurd,3 BHK,3,1,1225,44,Super built-up  Area
Jangali Maharaj Road,2 BHK,2,0,1185.5,64.548,Super built-up  Area
Kalyani Nagar,2 BHK,2,2,900,61.6,Super built-up  Area
Karve Nagar,2 BHK,2,1,1350,100.1,Super built-up  Area
Karve Road,1 BHK,1,0,700,39.6,Super built-up  Area
Kasba Peth,2 BHK,2,0,1005,38.6925,Super built-up  Area
Katraj,2 BHK,2,1,1160,51.029,Super built-up  Area
Khadaki,3 BHK,3,2,1680,109.197,Super built-up  Area
Khadki,2 BHK,2,2,1043,60.5,Carpet  Area
Kharadi,4 Bedroom,4,1,1200,132,Plot  Area
Kondhwa,2 BHK,2,2,1040,50.6,Super built-up  Area
Kondhwa Budruk,3 BHK,2,2,1357,71.5,Super built-up  Area
Kondhwa Khurd,7 Bedroom,7,1,1600,114.4,Plot  Area
Koregaon Park,2 BHK,2,2,1225,51.7,Super built-up  Area
Kothrud,9 Bedroom,6,1,1500,88,Plot  Area
Law College Road,2 BHK,2,2,1130,44,Super built-up  Area
Laxmi Road,4 Bedroom,4,1,2500,165,Built-up  Area
Lulla Nagar,3 BHK,3,3,1700,132,Carpet  Area
Mahatma Gandhi Road,3 BHK,3,2,1549,71.5,Super built-up  Area
Mangalwar peth,2 BHK,2,2,1400,110,Super built-up  Area
Manik Bagh,2 BHK,2,2,1080,55,Super built-up  Area
Market yard,2 BHK,2,2,1180,110,Built-up  Area
Model colony,7 Bedroom,7,3,780,165,Plot  Area
Mukund Nagar,3 BHK,3,2,1800,165,Super built-up  Area
Mundhawa,2 BHK,2,1,1225,74.118,Super built-up  Area
Nagar Road,1 BHK,1,1,890,82.5,Built-up  Area
Nana Peth,2 BHK,2,1,1005,43.549,Super built-up  Area
Narayan Peth,2 BHK,2,1,1320,104.5,Super built-up  Area
Narayangaon,4 BHK,2,1,1475,55,Built-up  Area
Navi Peth,3 BHK,2,2,1707,109.7195,Super built-up  Area
Padmavati,2 BHK,2,2,1110,56.1,Super built-up  Area
Parvati Darshan,2 Bedroom,2,0,1300,59.4,Plot  Area
Pashan,5 Bedroom,3,1,600,94.6,Plot  Area
Paud Road,2 BHK,2,1,1128,71.885,Super built-up  Area
Pirangut,2 BHK,2,1,1452.19,110,Super built-up  Area
Prabhat Road,3 Bedroom,3,2,2400,319,Plot  Area
Pune Railway Station,3 BHK,4,1,2600,148.5,Super built-up  Area
Rasta Peth,3 BHK,4,2,2500,357.5,Super built-up  Area
Raviwar Peth,2 BHK,1,1,630,38.5,Built-up  Area
Sadashiv Peth,2 BHK,2,2,1243,53.35,Super built-up  Area
Sahakar Nagar,2 BHK,2,2,960,35.2,Built-up  Area
Salunke Vihar,3 BHK,3,2,1690,110,Super built-up  Area
Sasson Road,2 BHK,2,1,735,38.5,Built-up  Area
Satara Road,2 BHK,2,2,1365,80.3,Super built-up  Area
Senapati Bapat Road,5 BHK,5,0,2849,330,Super built-up  Area
Shaniwar Peth,2 BHK,2,1,1420,109.329,Super built-up  Area
Shivaji Nagar,3 BHK,3,3,1570,74.8,Super built-up  Area
Shukrawar Peth,2 BHK,1,1,850,35.2,Super built-up  Area
Sinhagad Road,3 BHK,2,2,1575,121,Super built-up  Area
Somwar Peth,2 BHK,2,2,1418,114.4,Super built-up  Area
Swargate,2 BHK,2,1,1050,46.2,Super built-up  Area
Tilak Road,2 BHK,2,1,1065,46.86,Super built-up  Area
Uruli Devachi,3 BHK,3,0,1340,99,Built-up  Area
Vadgaon Budruk,3 BHK,3,2,1610,101.2,Super built-up  Area
Wadgaon Sheri,2 BHK,2,1,1160,36.85,Built-up  Area
Viman Nagar,2 BHK,2,2,1092,48.4,Super built-up  Area
Vishrant Wadi,2 BHK,2,2,1194,51.7,Super built-up  Area
Wagholi,3 BHK,3,1,1455,67.65,Super built-up  Area
Wakadewadi,1 BHK,1,0,734,21.802,Super built-up  Area
Wanowrie,2 BHK,2,1,799,41.8,Built-up  Area
Warje,3 BHK,3,1,1896,82.5,Built-up  Area
Yerawada,2 BHK,2,1,1100,52.8,Super built-up  Area
Alandi Road,2 BHK,2,1,1350,86.9,Built-up  Area
Ambegaon Budruk,3 BHK,3,1,1355,67.1,Super built-up  Area
Anandnagar,2 BHK,2,1,1128,71.5,Super built-up  Area
Aundh,2 Bedroom,2,0,1350,99,Plot  Area
Aundh Road,3 BHK,3,2,3875,950.4,Super built-up  Area
Balaji Nagar,3 BHK,3,2,1493,90.2,Super built-up  Area
Baner,2 BHK,2,1,1098,48.301,Super built-up  Area
Baner road,3 BHK,2,1,1900,187,Super built-up  Area
Bhandarkar Road,3 BHK,3,2,1460,96.8,Super built-up  Area
Bhavani Peth,3 BHK,4,3,2350,313.5,Super built-up  Area
Bibvewadi,5 Bedroom,5,3,1600,154,Plot  Area
Bopodi,2 BHK,2,1,1091,35.2,Super built-up  Area
Budhwar Peth,2 BHK,2,3,1180,46.2,Super built-up  Area
Bund Garden Road,2 BHK,3,1,1366,84.535,Super built-up  Area
Camp,3 BHK,3,2,1685,104.5,Super built-up  Area
Chandan Nagar,2 BHK,2,3,1260,110,Built-up  Area
Dapodi,3 Bedroom,3,2,3010,220,Plot  Area
Deccan Gymkhana,3 Bedroom,4,1,1330,154,Plot  Area
Dehu Road,2 Bedroom,2,0,1200,143,Plot  Area
Dhankawadi,2 BHK,2,1,1346,105.787,Super built-up  Area
Dhayari Phata,1 BHK,1,0,630,15.246,Super built-up  Area
Dhole Patil Road,3 BHK,2,2,1476,108.834,Super built-up  Area
Erandwane,3 BHK,3,2,1850,154,Super built-up  Area
Fatima Nagar,5 Bedroom,2,0,2350,465.3,Plot  Area
Fergusson College Road,2 BHK,1,1,755,37.4,Super built-up  Area
Ganesh Peth,5 Bedroom,5,2,800,107.8,Plot  Area
Ganeshkhind,2 BHK,2,2,1194,50.6,Super built-up  Area
Ghorpade Peth,3 BHK,5,2,3850,347.6,Super built-up  Area
Ghorpadi,4 BHK,4,2,4235,401.5,Super built-up  Area
Gokhale Nagar,1 Bedroom,1,0,800,57.2,Plot  Area
Gultekdi,3 BHK,3,1,2250,214.5,Super built-up  Area
Guruwar peth,2 BHK,2,2,1352,74.8,Super built-up  Area
Hadapsar,3 BHK,3,2,2002,123.2,Super built-up  Area
Hadapsar Industrial Estate,4 Bedroom,5,1,4000,308,Plot  Area
Hingne Khurd,2 BHK,2,2,1060,49.5,Built-up  Area
Jangali Maharaj Road,3 BHK,2,1,1419.59,64.9,Super built-up  Area
Kalyani Nagar,2 BHK,2,2,1196,56.265,Super built-up  Area
Karve Nagar,3 BHK,2,2,1220,38.764,Built-up  Area
Karve Road,3 BHK,3,2,1595,82.5,Super built-up  Area
Kasba Peth,2 BHK,2,3,1260,82.5,Super built-up  Area
Katraj,2 BHK,2,2,1100,51.7,Super built-up  Area
Khadaki,2 BHK,2,2,1550,154,Super built-up  Area
Khadki,2 BHK,2,3,1180,57.2,Super built-up  Area
Kharadi,4 Bedroom,5,1,4000,165,Plot  Area
Kondhwa,3 BHK,3,2,1662,93.5,Built-up  Area
Kondhwa Budruk,2 BHK,2,1,1285,66,Super built-up  Area
Kondhwa Khurd,4 Bedroom,4,1,1080,82.5,Plot  Area
Koregaon Park,3 BHK,3,2,1862,130.9,Super built-up  Area
Kothrud,2 BHK,2,2,1419,52.8,Super built-up  Area
Law College Road,3 BHK,3,2,1410,48.081,Built-up  Area
Laxmi Road,3 BHK,2,2,1560,68.64,Super built-up  Area
Lulla Nagar,5 Bedroom,4,3,1100,165,Plot  Area
Mahatma Gandhi Road,3 BHK,3,3,1634,85.8,Super built-up  Area
Mangalwar peth,5 Bedroom,5,3,5530,689.7,Plot  Area
Manik Bagh,3 BHK,2,3,1150,48.4,Built-up  Area
Market yard,2 BHK,2,2,1100,58.3,Super built-up  Area
Model colony,3 BHK,3,1,1616,71.5,Super built-up  Area
Mukund Nagar,2 BHK,2,1,1392,108.9,Super built-up  Area
Mundhawa,3 BHK,3,1,1798,132,Super built-up  Area
Nagar Road,3 BHK,3,3,1675,82.5,Super built-up  Area
Nana Peth,2 Bedroom,2,1,792,77,Plot  Area
Narayan Peth,5 BHK,4,1,2000,113.3,Super built-up  Area
Narayangaon,7 Bedroom,7,3,600,97.9,Built-up  Area
Navi Peth,3 BHK,3,2,1700,136.4,Super built-up  Area
Padmavati,2 BHK,2,1,1248,75.9,Super built-up  Area
Parvati Darshan,2 BHK,2,1,1147,59.4,Built-up  Area
Pashan,2 BHK,2,2,1100,44,Super built-up  Area
Paud Road,3 BHK,3,2,1527,126.5,Super built-up  Area
Pirangut,5 Bedroom,5,2,2400,258.5,Plot  Area
Prabhat Road,1 BHK,1,1,525,27.5,Super built-up  Area
Pune Railway Station,2 BHK,2,3,1100,63.8,Super built-up  Area
Rasta Peth,2 BHK,2,2,1118,41.25,Super built-up  Area
Raviwar Peth,3 BHK,3,1,1476,82.5,Super built-up  Area
Sadashiv Peth,3 BHK,3,1,2100,82.5,Built-up  Area
Sahakar Nagar,3 BHK,2,2,1215,51.15,Super built-up  Area
Salunke Vihar,2 BHK,2,1,1332,86.9,Super built-up  Area
Sasson Road,2 BHK,2,3,1350,53.9,Super built-up  Area
Satara Road,4 Bedroom,4,1,600,89.1,Plot  Area
Senapati Bapat Road,2 BHK,2,2,1243,50.6,Super built-up  Area
Shaniwar Peth,2 BHK,2,2,1105,54.703,Super built-up  Area
Shivaji Nagar,3 Bedroom,2,1,1500,220,Plot  Area
Shukrawar Peth,2 BHK,2,2,1200,55,Super built-up  Area
Sinhagad Road,2 BHK,2,1,1251,52.14,Super built-up  Area
Somwar Peth,2 BHK,2,1,883,49.5,Super built-up  Area
Swargate,3 BHK,2,3,1400,73.7,Super built-up  Area
Tilak Road,3 BHK,3,3,1800,286,Super built-up  Area
Uruli Devachi,3 BHK,3,2,1703,124.3,Super built-up  Area
Vadgaon Budruk,5 BHK,5,3,2500,143,Super built-up  Area
Wadgaon Sheri,3 BHK,3,2,1250,78.1,Super built-up  Area
Viman Nagar,2 BHK,2,2,933,47.3,Super built-up  Area
Vishrant Wadi,1 Bedroom,1,1,461.82,34.87,Plot  Area
Wagholi,2 BHK,2,1,1262,82.5,Super built-up  Area
Wakadewadi,2 BHK,2,2,915,52.8,Super built-up  Area
Wanowrie,3 BHK,2,2,1370,67.65,Super built-up  Area
Warje,2 BHK,2,3,1210,60.5,Super built-up  Area
Yerawada,3 BHK,4,2,2392,286,Super built-up  Area
Alandi Road,3 Bedroom,2,0,1500,93.5,Plot  Area
Ambegaon Budruk,2 BHK,2,3,1065,55,Super built-up  Area
Anandnagar,4 BHK,4,2,3100,627,Super built-up  Area
Aundh,3 BHK,3,3,1515,71.5,Super built-up  Area
Aundh Road,4 Bedroom,4,2,1800,121,Plot  Area
Balaji Nagar,3 BHK,2,3,1445,44.341,Super built-up  Area
Baner,3 BHK,2,1,1300,60.5,Super built-up  Area
Baner road,2 BHK,2,0,989,66,Built-up  Area
Bhandarkar Road,2 BHK,2,1,1300,93.5,Super built-up  Area
Bhavani Peth,3 BHK,2,2,1185,33.242,Super built-up  Area
Bibvewadi,5 Bedroom,3,1,1350,121,Plot  Area
Bopodi,2 BHK,2,3,1045,66,Super built-up  Area
Budhwar Peth,2 BHK,2,2,1205,46.398,Super built-up  Area
Bund Garden Road,2 BHK,2,1,1260,82.5,Super built-up  Area
Camp,5 Bedroom,5,2,1320,218.9,Plot  Area
Chandan Nagar,3 BHK,2,2,1500,137.5,Super built-up  Area
Dapodi,3 BHK,2,2,1250,46.75,Super built-up  Area
Deccan Gymkhana,2 BHK,2,2,1199,55,Built-up  Area
Dehu Road,2 BHK,2,1,1385,91.399,Super built-up  Area
Dhankawadi,6 Bedroom,5,3,1222,275,Plot  Area
Dhayari Phata,2 BHK,2,1,1149,82.5,Super built-up  Area
Dhole Patil Road,3 BHK,3,2,2180,187,Super built-up  Area
Erandwane,8 Bedroom,7,1,1200,121,Plot  Area
Fatima Nagar,10 BHK,12,2,12000,577.5,Super built-up  Area
Fergusson College Road,5 Bedroom,5,0,1200,214.5,Plot  Area
Ganesh Peth,3 BHK,3,1,1818,148.5,Super built-up  Area
Ganeshkhind,2 BHK,2,2,1070,36.3,Super built-up  Area
Ghorpade Peth,3 BHK,3,2,1640,265.1,Super built-up  Area
Ghorpadi,3 BHK,2,2,1350,60.06,Built-up  Area
Gokhale Nagar,2 BHK,1,1,630,29.7,Built-up  Area
Gultekdi,2 BHK,2,2,1430,124.3,Super built-up  Area
Guruwar peth,3 BHK,4,3,2430,198,Super built-up  Area
Hadapsar,6 Bedroom,7,3,1500,242,Plot  Area
Hadapsar Industrial Estate,2 BHK,2,3,1084,60.5,Super built-up  Area
Hingne Khurd,3 BHK,2,1,1186,61.6,Super built-up  Area
Jangali Maharaj Road,2 BHK,2,2,1255,55,Built-up  Area
Kalyani Nagar,4 BHK,5,3,3400,264,Super built-up  Area
Karve Nagar,3 BHK,3,1,1541,76.824,Super built-up  Area
Karve Road,4 BHK,5,1,3596,310.2,Super built-up  Area
Kasba Peth,2 BHK,2,2,1295,77,Super built-up  Area
Katraj,3 Bedroom,4,3,1000,121,Plot  Area
Khadaki,3 BHK,3,2,2820,313.5,Built-up  Area
Khadki,3 BHK,2,2,1370,60.269,Super built-up  Area
Kharadi,2 BHK,2,1,1100,44,Super built-up  Area
Kondhwa,4 BHK,6,2,4772,561,Super built-up  Area
Kondhwa Budruk,2 BHK,2,1,1370,187,Super built-up  Area
Kondhwa Khurd,3 BHK,2,1,1370,60.269,Super built-up  Area
Koregaon Park,2 BHK,2,2,1200,68.2,Super built-up  Area
Kothrud,4 Bedroom,3,0,2000,104.5,Plot  Area
Law College Road,4 BHK,4,2,3500,330,Built-up  Area
Laxmi Road,5 Bedroom,4,3,1200,264,Plot  Area
Lulla Nagar,4 Bedroom,5,2,2400,278.3,Plot  Area
Mahatma Gandhi Road,3 BHK,3,2,1220,68.2,Super built-up  Area
Mangalwar peth,3 Bedroom,3,2,1950,143,Built-up  Area
Manik Bagh,2 BHK,2,3,1178,80.3,Super built-up  Area
Market yard,3 BHK,3,2,1286,67.584,Super built-up  Area
Model colony,2 BHK,2,2,1160,46.2,Super built-up  Area
Mukund Nagar,2 BHK,2,2,918,60.5,Super built-up  Area
Mundhawa,3 BHK,3,2,1563,101.024,Super built-up  Area
Nagar Road,2 BHK,2,1,1326,68.387,Super built-up  Area
Nana Peth,3 BHK,2,2,1350,154,Super built-up  Area
Narayan Peth,4 BHK,5,3,3960,424.6,Super built-up  Area
Narayangaon,2 BHK,2,2,1240,42.966,Super built-up  Area
Navi Peth,2 BHK,2,2,1325,55,Super built-up  Area
Padmavati,2 BHK,2,1,1100,48.4,Super built-up  Area
Parvati Darshan,3 BHK,3,2,3875,880,Super built-up  Area
Pashan,3 BHK,3,2,1605,55,Super built-up  Area
Paud Road,5 BHK,5,3,5600,566.5,Super built-up  Area
Pirangut,2 BHK,2,1,1260,66,Super built-up  Area
Prabhat Road,3 BHK,3,2,1553,91.399,Super built-up  Area
Pune Railway Station,2 BHK,2,2,1280,57.2,Super built-up  Area
Rasta Peth,3 BHK,2,2,1550,82.5,Super built-up  Area
Raviwar Peth,3 BHK,2,2,1445,137.5,Super built-up  Area
Sadashiv Peth,3 BHK,3,2,1550,81.4,Super built-up  Area
Sahakar Nagar,3 BHK,2,1,1515,89.001,Super built-up  Area
Salunke Vihar,3 BHK,2,1,1332,94.732,Super built-up  Area
Sasson Road,3 BHK,3,2,1652,77,Super built-up  Area
Satara Road,3 BHK,3,1,1570,115.5,Super built-up  Area
Senapati Bapat Road,4 Bedroom,4,3,5400,797.5,Plot  Area
Shaniwar Peth,1 BHK,1,1,794,66,Super built-up  Area
Shivaji Nagar,3 Bedroom,2,0,1200,68.2,Plot  Area
Shukrawar Peth,4 Bedroom,3,2,3600,451,Built-up  Area
Sinhagad Road,3 Bedroom,3,2,1200,192.5,Plot  Area
Somwar Peth,4 BHK,3,1,1650,242,Super built-up  Area
Swargate,4 Bedroom,2,1,600,93.5,Plot  Area
Tilak Road,3 BHK,3,2,2800,275,Super built-up  Area
Uruli Devachi,3 BHK,3,2,1750,121,Super built-up  Area
Vadgaon Budruk,2 BHK,2,1,1053,52.8,Built-up  Area
Wadgaon Sheri,3 BHK,3,2,1100,58.3,Super built-up  Area
Viman Nagar,3 BHK,3,3,1665,77,Super built-up  Area
Vishrant Wadi,4 Bedroom,4,3,4051,379.5,Plot  Area
Wagholi,4 Bedroom,5,1,5500,1650,Plot  Area
Wakadewadi,3 BHK,3,2,1447,88,Built-up  Area
Wanowrie,2 BHK,2,1,1012,82.5,Built-up  Area
Warje,3 BHK,3,2,1900,66,Super built-up  Area
Yerawada,2 BHK,2,2,1308,101.926,Super built-up  Area
Alandi Road,4 BHK,4,2,3250,253,Super built-up  Area
Ambegaon Budruk,1 BHK,2,1,1351,58.3,Super built-up  Area
Anandnagar,2 BHK,2,2,1000,24.2,Super built-up  Area
Aundh,4 Bedroom,4,2,1200,385,Plot  Area
Aundh Road,2 BHK,2,2,1140,54.021,Super built-up  Area
Balaji Nagar,4 BHK,4,0,3181,286.55,Super built-up  Area
Baner,3 BHK,2,1,1250,60.5,Built-up  Area
Baner road,3 BHK,3,3,1290,49.665,Super built-up  Area
Bhandarkar Road,2 BHK,2,2,1424,99,Super built-up  Area
Bhavani Peth,3 BHK,2,2,1320,66.66,Super built-up  Area
Bibvewadi,3 BHK,3,2,1662,94.05,Built-up  Area
Bopodi,5 BHK,5,3,8321,2970,Super built-up  Area
Budhwar Peth,2 BHK,2,2,1200,49.5,Super built-up  Area
Bund Garden Road,3 BHK,3,2,1975,231,Built-up  Area
Camp,3 BHK,2,2,1295,65.45,Super built-up  Area
Chandan Nagar,3 BHK,3,2,1777,110,Super built-up  Area
Dapodi,3 BHK,3,2,1900,118.8,Super built-up  Area
Deccan Gymkhana,3 BHK,3,2,1576,65.01,Super built-up  Area
Dehu Road,2 BHK,2,3,1020,45.1,Super built-up  Area
Dhankawadi,3 BHK,3,3,2100,187,Super built-up  Area
Dhayari Phata,1 BHK,1,1,648,34.925,Super built-up  Area
Dhole Patil Road,3 BHK,2,1,1167,41.8,Super built-up  Area
Erandwane,7 Bedroom,7,3,1000,176,Plot  Area
Fatima Nagar,2 BHK,2,2,1220,55.979,Super built-up  Area
Fergusson College Road,3 BHK,5,1,2350,359.7,Super built-up  Area
Ganesh Peth,2 BHK,2,1,1259,74.14,Super built-up  Area
Ganeshkhind,4 Bedroom,4,2,2000,90.2,Built-up  Area
Ghorpade Peth,3 BHK,3,1,1800,88,Super built-up  Area
Ghorpadi,3 BHK,3,2,1991,176,Built-up  Area
Gokhale Nagar,3 BHK,3,3,1665,121,Super built-up  Area
Gultekdi,2 BHK,2,1,1234,67.1,Built-up  Area
Guruwar peth,3 BHK,2,2,1340,70.741,Super built-up  Area
Hadapsar,2 BHK,2,2,1170,51.469,Super built-up  Area
Hadapsar Industrial Estate,2 BHK,2,0,995,50.6,Built-up  Area
Hingne Khurd,2 BHK,2,2,1075,66,Super built-up  Area
Jangali Maharaj Road,2 BHK,2,1,1025,59.95,Super built-up  Area
Kalyani Nagar,3 BHK,3,2,2721,124.3,Super built-up  Area
Karve Nagar,3 BHK,3,2,2000,108.9,Super built-up  Area
Karve Road,4 BHK,4,3,2500,170.5,Super built-up  Area
Kasba Peth,2 BHK,2,2,1325,77,Super built-up  Area
Katraj,2 BHK,2,3,1314,75.02,Super built-up  Area
Khadaki,3 BHK,3,2,2265,149.6,Super built-up  Area
Khadki,7 Bedroom,7,0,4800,187,Built-up  Area
Kharadi,2 BHK,2,1,1026,45.1,Super built-up  Area
Kondhwa,3 BHK,3,2,1200,72.6,Built-up  Area
Kondhwa Budruk,3 BHK,4,2,2220,71.5,Built-up  Area
Kondhwa Khurd,2 BHK,2,0,1192.5,56.342,Super built-up  Area
Koregaon Park,2 BHK,2,1,1420,109.329,Super built-up  Area
Kothrud,3 BHK,4,1,1888,104.5,Super built-up  Area
Law College Road,2 BHK,2,1,1300,99.957,Super built-up  Area
Laxmi Road,2 BHK,2,0,1216,106.876,Super built-up  Area
Lulla Nagar,4 Bedroom,4,3,3000,376.2,Plot  Area
Mahatma Gandhi Road,3 BHK,3,2,1559,69.3,Built-up  Area
Mangalwar peth,2 BHK,2,1,1290,95.7,Super built-up  Area
Manik Bagh,6 Bedroom,6,2,2400,269.5,Plot  Area
Market yard,1 BHK,1,1,905,60.5,Built-up  Area
Model colony,2 BHK,2,2,1069,60.5,Built-up  Area
Mukund Nagar,2 BHK,2,1,829,25.08,Super built-up  Area
Mundhawa,2 BHK,2,1,1900,220,Built-up  Area
Nagar Road,5 Bedroom,5,1,1276,154,Built-up  Area
Nana Peth,3 BHK,3,2,1300,66,Built-up  Area
Narayan Peth,2 BHK,2,1,1115,36.795,Super built-up  Area
Narayangaon,3 BHK,3,2,2409,396,Super built-up  Area
Navi Peth,3 BHK,4,2,2150,137.5,Super built-up  Area
Padmavati,3 BHK,2,1,1305,75.9,Super built-up  Area
Parvati Darshan,2 BHK,2,1,1252,61.952,Super built-up  Area
Pashan,5 Bedroom,5,2,2400,275,Plot  Area
Paud Road,2 Bedroom,2,1,1200,50.743,Plot  Area
Pirangut,3 BHK,3,1,1750,143,Built-up  Area
Prabhat Road,2 BHK,1,1,545,38.5,Super built-up  Area
Pune Railway Station,2 Bedroom,2,1,1375,115.5,Plot  Area
Rasta Peth,2 BHK,2,2,1313,73.15,Super built-up  Area
Raviwar Peth,4 Bedroom,4,1,3640,302.5,Plot  Area
Sadashiv Peth,3 BHK,3,2,1693,118.8,Super built-up  Area
Sahakar Nagar,2 BHK,2,1,1160,45.925,Super built-up  Area
Salunke Vihar,3 Bedroom,3,0,1200,220,Plot  Area
Sasson Road,3 BHK,2,2,1255,86.9,Super built-up  Area
Satara Road,4 Bedroom,4,1,1000,82.5,Plot  Area
Senapati Bapat Road,2 BHK,2,1,900,49.5,Built-up  Area
Shaniwar Peth,3 BHK,3,2,1700,99,Super built-up  Area
Shivaji Nagar,3 BHK,3,1,1875,198,Carpet  Area
Shukrawar Peth,3 BHK,3,2,1700,96.8,Carpet  Area
Sinhagad Road,3 BHK,3,2,1749,126.5,Super built-up  Area
Somwar Peth,2 Bedroom,3,1,1500,71.5,Plot  Area
Swargate,2 BHK,2,1,1175,52.8,Super built-up  Area
Tilak Road,2 BHK,2,1,1280,66,Built-up  Area
Uruli Devachi,2 BHK,2,2,1200,55,Built-up  Area
Vadgaon Budruk,3 BHK,2,2,1610,126.5,Super built-up  Area
Wadgaon Sheri,2 BHK,2,1,1070,50.6,Super built-up  Area
Viman Nagar,2 Bedroom,2,0,1200,72.6,Plot  Area
Vishrant Wadi,2 BHK,2,1,1127,55,Super built-up  Area
Wagholi,2 BHK,2,1,1210,112.2,Built-up  Area
Wakadewadi,2 BHK,2,1,600,25.3,Built-up  Area
Wanowrie,4 BHK,4,3,4190,418,Super built-up  Area
Warje,2 BHK,2,2,1364,77,Super built-up  Area
Yerawada,4 BHK,3,0,2268,160.6,Super built-up  Area
Alandi Road,3 BHK,2,2,1150,85.25,Super built-up  Area
Ambegaon Budruk,2 BHK,2,1,1146,43.45,Super built-up  Area
Anandnagar,2 BHK,2,2,1345,60.5,Built-up  Area
Aundh,2 BHK,2,2,1110,45.1,Super built-up  Area
Aundh Road,2 BHK,2,1,750,39.6,Built-up  Area
Balaji Nagar,2 BHK,2,2,1156,54.45,Built-up  Area
Baner,2 BHK,2,1,1247,65.78,Super built-up  Area
Baner road,2 BHK,2,2,1058,66,Super built-up  Area
Bhandarkar Road,2 BHK,2,1,950,52.8,Super built-up  Area
Bhavani Peth,2 BHK,2,0,420,38.5,Super built-up  Area
Bibvewadi,4 Bedroom,2,2,600,99,Plot  Area
Bopodi,3 BHK,2,1,1520,113.3,Super built-up  Area
Budhwar Peth,2 BHK,2,2,1215,64.746,Super built-up  Area
Bund Garden Road,1 BHK,1,1,900,33,Built-up  Area
Camp,3 BHK,3,2,2350,191.4,Super built-up  Area
Chandan Nagar,2 BHK,2,2,1050,50.6,Super built-up  Area
Dapodi,3 BHK,3,2,1672,165,Super built-up  Area
Deccan Gymkhana,5 Bedroom,5,2,2800,137.5,Plot  Area
Dehu Road,3 BHK,2,2,1500,71.5,Super built-up  Area
Dhankawadi,2 BHK,2,2,1400,71.5,Super built-up  Area
Dhayari Phata,4 Bedroom,4,2,1276,415.8,Plot  Area
Dhole Patil Road,4 Bedroom,4,2,2700,143,Built-up  Area
Erandwane,2 BHK,2,1,920,41.206,Super built-up  Area
Fatima Nagar,3 Bedroom,3,2,1200,77,Plot  Area
Fergusson College Road,3 BHK,3,2,1250,152.9,Built-up  Area
Ganesh Peth,3 BHK,4,2,1817,168.3,Super built-up  Area
Ganeshkhind,5 Bedroom,6,2,2043,412.5,Plot  Area
Ghorpade Peth,2 BHK,2,2,1140,50.6,Super built-up  Area
Ghorpadi,4 Bedroom,4,1,4346,495,Built-up  Area
Gokhale Nagar,2 BHK,2,2,1464,61.6,Super built-up  Area
Gultekdi,2 BHK,3,2,1468,143,Super built-up  Area
Guruwar peth,3 BHK,2,1,1555,90.2,Super built-up  Area
Hadapsar,6 Bedroom,4,2,1200,121,Plot  Area
Hadapsar Industrial Estate,2 BHK,2,0,1150,60.5,Built-up  Area
Hingne Khurd,2 BHK,2,1,970,38.5,Super built-up  Area
Jangali Maharaj Road,4 BHK,4,3,2500,104.5,Super built-up  Area
Kalyani Nagar,2 BHK,2,1,1166,58.3,Super built-up  Area
Karve Nagar,3 Bedroom,3,1,2779,348.7,Plot  Area
Karve Road,3 BHK,3,2,1350,63.8,Super built-up  Area
Kasba Peth,2 BHK,2,3,900,50.6,Built-up  Area
Katraj,3 BHK,2,2,1300,57.2,Super built-up  Area
Khadaki,3 BHK,3,1,1190,60.5,Built-up  Area
Khadki,3 BHK,2,2,1495,82.5,Super built-up  Area
Kharadi,2 BHK,2,2,1224,115.5,Built-up  Area
Kondhwa,3 BHK,2,2,1350,74.8,Super built-up  Area
Kondhwa Budruk,2 BHK,2,1,940,62.48,Built-up  Area
Kondhwa Khurd,2 BHK,2,1,1100,60.5,Super built-up  Area
Koregaon Park,2 BHK,2,2,1300,67.1,Super built-up  Area
Kothrud,3 BHK,2,0,1480,159.5,Built-up  Area
Law College Road,2 BHK,2,2,1105,51.007,Super built-up  Area
Laxmi Road,3 Bedroom,3,2,2600,220,Plot  Area
